PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
10526080383,MD,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,0.31,.
10535517971,MI,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.21,.
10560832532,CA,100+ EPs,1,Not Eligible,CAT1,1.0xAF,.,Average,High,-0.55,2.16
10561052848,TX,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,0.06,0.84
10562321309,NC,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.44,.
10564819468,CA,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,.,-0.27
10606987416,NC,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10607861237,KY,100+ EPs,1,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.17,-0.60
10610579332,CA,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.41,-0.14
10618490708,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.32,-1.35
10624017464,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.26,.
10629634955,ND,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.28,1.06
10642124543,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.59,.
10648101876,TX,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10650548530,OH,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.85,-1.71
10667782352,CO,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
10679774732,LA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.53,.
10710803133,TN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.34,0.61
10713645125,MI,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.38,-0.27
10720343495,ND,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.31,0.14
10756235584,MD,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.79,.
10768716608,IL,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.79,.
10770212566,NJ,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.32,-1.00
10776319066,MN,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,0.11,0.29
10785610662,NJ,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.32,0.28
10790485908,VA,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,-0.36,-0.33
10792822941,CA,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-1.28,.
10816852942,NY,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,-0.41,.
10818610695,TX,100+ EPs,0,N/A,CAT2,-1.0%,.,N/A,N/A,.,.
10825684141,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,N/A,N/A,.,.
